elapsed_s,phase_origin,fixed_gl_domain,fixed_write_ms,fixed_read_ms,auto_gl_domain,auto_write_ms,auto_read_ms
0,a,a,105,2,a,109,2
1,a,a,105,2,a,109,2
2,a,a,106,2,a,110,2
3,a,a,106,2,a,110,2
4,a,a,106,2,a,110,2
5,a,a,106,2,a,109,2
6,a,a,106,2,a,109,2
7,a,a,106,2,a,110,2
8,a,a,106,2,a,110,2
9,a,a,106,2,a,110,2
10,a,a,106,2,a,111,2
11,a,a,106,2,a,110,2
12,b,a,205,101,a,209,101
13,b,a,207,101,a,209,100
14,b,a,205,101,a,592,100
15,b,a,206,100,b,111,2
16,b,a,206,101,b,111,2
17,b,a,207,100,b,111,2
18,b,a,207,101,b,111,2
19,b,a,207,100,b,111,2
20,b,a,206,101,b,111,2
21,b,a,206,100,b,109,2
22,b,a,207,100,b,112,2
23,b,a,206,100,b,111,2
24,c,a,267,160,b,235,121
25,c,a,266,160,b,226,121
26,c,a,267,162,b,227,121
27,c,a,267,161,c,128,2
28,c,a,267,162,c,129,2
29,c,a,269,160,c,131,2
30,c,a,267,161,c,131,2
31,c,a,268,161,c,130,2
32,c,a,267,160,c,131,2
33,c,a,267,161,c,131,2
34,c,a,268,161,c,131,2
35,c,a,269,161,c,132,2
